ValgstedId,Opførelsesår_Antal_boliger_1940-1959,Opførelsesår_Antal_boliger_1960-1969,Opførelsesår_Antal_boliger_1970-1979,Opførelsesår_Antal_boliger_1980-1989,Opførelsesår_Antal_boliger_1990-1999,Opførelsesår_Antal_boliger_2000-2009,Opførelsesår_Antal_boliger_2010-9999,Opførelsesår_Antal_boliger_Før 1940
390004,79,335,216,161,39,141,13,258
390005,66,48,82,38,5,6,5,296
390006,113,194,182,118,27,99,31,921
390007,43,110,350,132,6,84,11,207
390008,232,364,294,235,120,218,30,1459
390009,70,58,25,39,41,23,6,537
390010,73,46,29,31,66,16,4,816
390011,16,36,77,56,20,95,13,263
390012,158,254,507,234,114,292,28,675
390013,49,34,27,48,10,14,4,348
390014,26,46,48,15,14,21,5,212
390015,67,77,130,60,38,67,15,421
390016,115,102,156,124,45,60,10,452
390017,66,160,202,61,63,113,8,234
400001,164,152,206,176,52,49,8,945
400002,129,75,65,108,59,28,6,975
400003,61,89,81,63,16,37,15,704
400004,373,202,269,283,75,78,16,1032
400005,63,61,91,124,4,53,11,410
400006,200,240,282,258,90,79,13,1427
400007,131,127,160,81,11,22,6,661
400008,1462,924,903,733,325,151,219,2923
400009,105,143,204,249,4,27,3,703
410001,422,531,305,154,129,350,204,1577
410002,288,423,617,635,281,367,202,337
410003,108,235,358,282,200,197,126,410
410004,56,85,152,12,50,436,262,305
410005,41,50,48,15,12,85,136,310
410006,211,179,267,181,81,162,72,601
410007,44,56,78,36,51,76,13,438
410008,169,120,157,139,96,111,58,587
410009,98,156,140,111,42,48,16,629
410010,102,80,70,76,39,123,63,615
410011,72,70,64,29,25,32,11,407
411001,0,0,0,0,0,0,0,0
420001,411,419,574,348,141,218,83,1482
420002,76,72,152,45,12,16,8,459
420003,35,29,41,4,5,6,4,234
420004,39,21,10,10,8,6,5,282
420005,118,188,346,165,148,251,99,597
420006,33,41,67,13,4,11,4,152
420007,52,38,12,23,15,11,9,393
420008,147,142,296,196,76,146,30,482
420009,37,45,51,22,4,24,1,298
420010,38,38,20,18,10,15,6,270
420011,233,426,540,336,173,109,70,789
420012,25,23,38,12,6,8,9,241
420013,142,178,339,166,139,157,18,445
420014,18,13,40,14,5,17,1,209
420015,38,130,202,31,31,42,65,192
420016,82,61,121,165,81,89,6,278
420017,110,108,217,180,80,103,44,273
420018,69,70,133,64,27,16,5,350
430001,61,103,162,36,31,39,8,266
430002,54,64,102,59,12,85,9,255
430003,74,87,181,103,65,58,18,345
430004,37,39,41,33,16,20,6,288
430005,0,0,0,0,0,0,0,0
430007,463,565,555,462,209,319,60,1707
430008,72,113,127,44,13,37,16,507
430009,102,81,140,38,41,41,21,495
430010,0,0,0,0,0,0,0,0
430011,93,129,158,38,56,36,10,485
430012,73,114,133,41,38,57,10,372
430013,73,54,70,23,21,44,4,329
430014,49,81,47,41,13,10,9,386
430015,339,433,621,392,200,425,273,1024
430016,33,38,39,27,12,12,5,303
430017,102,89,243,78,23,40,10,403
430018,87,95,219,119,63,93,25,415
430019,92,107,317,122,68,57,15,299
430020,123,285,318,118,58,192,125,425
430021,80,146,162,67,63,81,56,211
430022,116,203,414,199,106,303,171,402
440001,85,85,61,33,29,53,19,566
440002,382,383,507,376,284,348,186,1012
440003,97,114,60,49,19,50,27,543
440004,89,190,85,87,38,54,51,303
440005,163,314,533,274,131,249,103,324
440006,201,949,717,330,130,240,45,253
450001,73,82,63,44,13,24,18,428
450002,841,1102,1024,389,187,69,336,752
450003,353,232,314,146,154,446,213,1656
450004,60,42,29,255,85,273,70,283
450005,24,35,30,7,6,10,2,343
450006,108,273,325,103,95,185,12,256
450007,13,27,21,17,10,11,2,108
450008,10,36,55,14,3,1,1,130
450009,24,32,36,21,5,18,4,246
450010,68,141,123,132,86,111,63,216
450011,41,52,63,38,31,18,11,350
450012,15,51,81,30,6,36,3,321
450013,36,24,69,40,10,55,4,263
461001,513,126,25,691,387,198,648,4389
461002,1188,110,57,285,229,424,619,2791
461003,895,258,257,19,59,38,59,629
461004,2169,190,13,52,2,32,52,3013
461005,1032,1274,294,915,78,201,124,307
461006,46,383,337,160,33,31,48,146
461007,69,427,350,219,626,642,258,225
461009,57,161,91,28,313,645,74,248
461011,185,12,24,108,349,477,1331,4377
461012,3405,586,757,107,36,129,320,609
461013,64,73,52,57,3,62,16,185
461014,129,512,1133,592,198,84,165,322
461016,64,99,274,698,104,360,55,217
461017,335,1278,566,224,150,33,11,361
461018,214,1567,340,54,116,24,20,322
461019,67,653,468,50,448,233,234,198
461020,65,464,826,414,20,35,14,157
461021,136,287,91,29,44,255,25,383
461023,415,192,74,767,240,347,197,5084
461024,674,66,22,28,6,14,17,1444
461025,605,1820,566,664,30,210,991,95
461026,271,1027,2321,638,174,65,70,345
461028,101,552,474,307,137,230,245,238
461029,823,415,735,39,79,13,39,759
461030,662,892,1022,691,435,166,111,399
461031,138,318,328,294,32,66,234,140
461032,38,37,36,26,3,53,15,213
461033,78,384,524,352,373,285,96,316
461035,3,1473,2475,426,4,0,1,55
461036,1,0,133,1840,450,102,55,25
479001,1111,596,973,704,783,364,202,3247
479002,446,229,247,378,53,15,19,467
479003,415,528,752,835,73,345,15,723
479004,42.55,86.24,51.06,11.91,19.29,30.07,10.78,285.94
479005,206,294,371,168,190,127,52,411
479006,0,0,0,0,0,0,0,0
479007,64,113,186,193,110,199,43,201
479008,32.45,65.76,38.94,9.09,14.71,22.93,8.22,218.06
479009,93,141,122,154,36,172,70,406
479010,71,273,371,250,104,107,29,360
479011,52,164,313,303,191,38,22,237
479014,45,79,75,47,9,26,3,295
479016,58,137,160,19,51,117,35,320
479017,109,133,179,78,37,81,43,543
479019,79,96,201,100,46,76,31,590
479021,59,45,42,17,28,34,2,339
479023,39,41,72,36,53,103,13,358
479025,57,60,51,45,5,85,14,385
479027,55,95,81,92,26,88,15,411
480001,214,242,385,204,137,296,245,1177
480002,23,36,14,14,5,9,2,327
480003,188,153,121,45,31,36,18,848
480004,211,482,696,420,178,270,156,705
480005,48,63,37,11,6,12,8,310
480006,69,73,97,41,11,39,10,281
480007,54,40,45,32,6,27,10,369
480008,90,128,184,106,80,141,78,342
480009,69,56,77,34,22,19,6,388
480010,81,159,635,276,99,161,139,482
482001,44.75,47.21,42.65,42.21,12.55,5.16,1.05,293.68
482002,86.11,98.96,165.38,95.97,44.17,20.31,4.45,755.58
482005,293.14,258.83,384.97,320.82,107.29,112.54,99.51,1502.74
