ValgstedId,Ejerforhold_Antal_boliger_01. Ejerbolig,Ejerforhold_Antal_boliger_02. Andelsbolig,Ejerforhold_Antal_boliger_03. Almennyttig bolig,Ejerforhold_Antal_boliger_04. Lejer i offentligt ejet,Ejerforhold_Antal_boliger_05. Privat lejerbolig,Ejerforhold_Antal_boliger_06. Øvrige beboede boliger
253003,2381.37,39.18,303.28,19.26,57.59,26.07
253004,2792,101,305,87,193,187
253005,2027,17,426,23,99,238
259001,2318,122,830,160,512,737
259002,976.5,59.92,1860,8.95,113.50,102.66
259003,1550.14,201.44,1172.78,113.53,140.09,268.11
259004,1219,0,463,35,48,24
259005,1119,116,1291,70,57,70
259006,1917,160,1054,73,156,170
259007,1203.86,66.56,220.22,3.47,63.91,76.89
259008,838.5,69.08,0,13.05,44.50,38.34
259009,1079,51,173,11,85,73
259010,436,0,0,1,68,18
259011,1436,260,632,38,231,73
260001,3026,132,428,17,490,382
260002,1491,22,69,31,159,47
260003,1168.32,27.19,308.83,79.64,97.12,35.93
260004,2373.68,240.81,1162.17,107.36,510.88,418.07
260005,929,74,225,29,108,43
265001,974,301,363,44,395,793
265002,1482,430,229,9,79,473
265003,1550,424,1181,262,107,350
265004,939,497,479,7,198,396
265005,1379,253,1284,52,290,695
265006,2179,180,629,59,54,328
265007,1356,239,213,21,24,14
265008,737,73,116,1,32,37
265009,377,0,0,2,17,59
265010,1072,85,2204,97,214,489
265011,973,130,170,47,64,36
265013,2286,0,96,61,167,65
265014,910,78,97,16,43,39
265015,1024,189,268,1,30,11
265016,782,33,0,15,57,13
265017,1728,102,494,2,89,111
265018,367,0,0,7,32,9
265021,935,156,915,128,73,430
269001,1418,212,198,2,114,63
269004,2420,55,458,8,130,320
269005,2782,320,769,128,206,101
270001,1618,20,0,52,265,52
270002,1055,24,4,52,159,76
270003,166,0,0,2,13,16
270004,1403,55,273,37,205,129
270005,780,33,4,0,61,46
270006,2122,99,250,100,314,252
270007,535,0,0,0,88,23
270008,2173,103,736,47,336,262
270009,324,0,4,2,50,24
270010,1013,56,14,1,78,30
270011,1000,0,54,8,132,59
270012,755,0,8,6,108,25
306001,1180,154,309,1,213,173
306002,1272,9,124,28,249,78
306003,867,8,83,2,214,44
306004,919,8,236,22,218,128
306005,499,0,41,0,100,40
306006,955,50,111,17,249,158
306007,1750,121,434,97,484,455
306008,623,26,19,16,138,51
306010,491,0,45,3,98,44
306011,1284,46,155,6,320,78
306012,270,0,12,2,55,11
306013,351,0,0,2,83,62
316001,2408,401,1437,33,175,214
316002,1483,326,2731,69,144,336
316003,778,355,836,122,535,778
316004,1326,70,46,3,119,58
316005,1397,90,90,62,146,59
316006,832,1,46,0,122,50
316007,1258,195,265,102,212,162
316008,1046,30,103,0,180,132
316009,1261,33,139,49,141,85
316010,990,65,84,22,198,55
316011,1239,146,483,8,286,263
316012,1241,28,125,0,220,231
316013,976,46,246,0,212,188
316014,1023,38,97,0,202,113
316015,382,0,28,0,73,15
320001,2176,127,263,36,246,296
320002,1967,154,857,105,437,558
320003,1157,110,458,68,247,341
320004,1246,62,155,0,242,226
320005,1197,128,131,2,203,196
320006,1177,22,84,23,168,44
320007,1133,54,158,30,163,100
326001,1057,102,81,30,232,131
326002,140,10,13,7,31,9
326003,1379,40,164,56,305,150
326004,764,93,283,46,195,98
326005,607,0,54,21,130,18
326006,232,20,23,0,39,7
326007,447,0,24,4,78,23
326008,930,40,145,3,215,87
326009,1175,189,604,106,208,97
326010,559,26,12,5,123,53
326011,483,0,0,0,89,25
326012,827,22,521,31,401,331
326013,704,134,501,12,367,220
326014,528,6,29,3,92,38
326015,1125,28,75,0,169,89
326016,1555,29,150,0,170,64
326017,306,0,17,7,56,15
326018,793,186,1087,10,64,104
329001,1861,423,1472,196,420,1142
329002,264,6,0,0,36,10
329003,245,10,24,0,17,16
329004,1917,28,35,5,219,291
329005,448,0,0,0,66,13
329006,986,29,1370,7,275,346
329008,395,80,18,8,63,30
329009,414,0,10,2,47,34
329010,472,0,0,7,36,14
329011,186,19,44,6,43,7
329012,344,8,0,5,68,12
329013,431,0,0,53,52,31
329014,262,7,17,7,62,18
330001,1030,57,52,0,164,97
330003,453,68,88,30,56,42
330004,581,33,65,0,117,9
330005,1660,285,1215,131,291,379
330006,1365,136,1131,1,609,468
330007,886,37,0,25,71,20
330008,1115,44,29,41,156,50
330009,1438,84,1441,16,251,173
330010,564,17,39,1,120,26
330011,2194,240,1032,66,421,341
330012,0,0,0,0,0,0
330013,432,14,20,35,69,22
330017,0,0,0,0,0,0
330019,1676,182,2364,1,744,1968
330021,1736,152,651,0,231,222
330022,1399,335,1485,143,320,535
330024,439,0,0,0,48,50
330025,1192,3,83,1,138,33
336001,1781,84,149,109,243,139
336002,2392,96,78,83,260,232
336003,1558,89,338,55,426,349
336004,1274,64,76,1,269,98
340001,1586,133,383,110,266,258
340002,475,39,77,18,141,170
340004,601,10,60,0,68,43
340005,1144,151,583,53,375,494
340006,1486,54,367,12,148,102
340008,1066,83,324,27,119,198
340010,1681,87,209,24,298,120
350001,1239,53,214,72,101,106
350002,872,35,61,30,79,19
350003,604,19,14,6,51,20
350004,503,13,6,8,45,9
350005,391,1,0,6,44,29
350006,1251,99,344,98,136,125
350008,893,52,69,34,74,32
350009,963,1,56,43,72,45
350011,879,58,4,71,61,62
350012,996,23,26,57,100,49
360001,281,7,8,0,56,29
360003,804,15,182,2,223,103
360008,342,0,37,0,102,6
360011,752.78,19.55,191.04,1.48,156.97,46.39
360013,1860,161,631,100,592,275
360014,0,0,0,0,0,0
360019,1116,0,74,20,256,74
360020,2091,120,1379,85,653,516
360021,1494.03,81.12,535.74,26.41,266.93,78.29
360026,200.19,10.34,2.22,1.11,44.11,13.32
360027,187,0,8,0,67,6
360028,0,0,0,0,0,0
360029,820,0,89,0,199,37
360035,965,26,28,19,211,43
360036,1207,11,108,22,347,101
360037,370,61,296,63,88,57
370001,1139,51,326,1,385,163
370002,342,0,9,0,43,37
370003,610,23,58,0,160,62
370004,825,66,55,24,118,54
370005,320,8,0,0,61,22
370006,808,15,111,4,107,36
370007,508,16,41,1,107,25
370008,1405,174,389,8,84,189
370009,445,33,96,1,43,11
370010,493,15,49,45,74,28
370011,913,144,139,28,170,67
370012,189,0,0,1,33,8
370014,1134,78,188,48,171,118
370020,1277,76,545,141,148,118
370021,381,305,113,132,575,772
370022,1807,138,1730,242,588,647
370023,1603,98,694,68,233,343
370024,1459,180,388,0,1127,78
370026,1151,0,128,10,127,130
370027,1491,604,223,191,144,154
370028,1324,0,799,186,272,100
370029,280,0,20,8,42,15
370031,597,40,52,2,113,34
370032,965,28,63,29,134,81
376001,678,186,652,2,725,691
376002,1095,22,198,1,494,408
376003,856,39,1074,0,61,8
376004,954,26,1001,70,222,213
376005,946,65,8,14,123,17
376006,640,0,43,0,115,92
376007,1118,53,338,0,69,104
376008,999,36,85,44,226,139
376009,560,0,8,21,139,34
376010,966,77,203,53,225,69
376011,760,7,36,12,175,67
376012,892,20,70,11,174,65
376013,1525,45,552,164,406,268
376014,551,0,47,4,131,50
376015,396,0,0,2,113,24
376016,1094,84,170,100,302,213
376017,1048,38,12,2,225,106
376018,676,32,30,43,121,18
376019,1312,69,89,17,198,47
376020,523,0,51,0,140,37
390001,1059,60,1031,113,441,425
390002,826,226,658,88,267,180
390003,903,82,193,24,114,43
390004,780,27,151,3,155,126
390005,377,15,8,27,89,30
390006,1259,8,20,12,284,102
390007,596,50,189,1,66,41
390008,1690,116,402,59,396,289
390009,568,0,61,2,144,24
390010,794,11,51,2,174,49
390011,424,12,41,0,79,20
390012,1041,213,362,82,267,297
390013,399,0,12,1,90,32
390014,297,0,12,1,49,28
390015,567,10,107,28,115,48
390016,767,9,101,14,142,31
390017,629,49,103,4,80,42
400001,1154,74,134,23,212,155
400002,1089,18,115,2,192,29
400003,798,46,77,0,117,28
400004,1396,54,335,48,275,220
400005,591,22,54,9,126,15
400006,1756,52,242,132,266,141
400007,918,23,48,2,169,39
400008,4351,375,1309,247,780,578
400009,1006,39,83,2,168,140
410001,1689,47,657,111,537,631
410002,1847,137,525,136,241,264
410003,1439,56,116,11,153,141
410004,751,23,135,0,91,358
410005,439,0,37,38,62,121
410006,1010,42,396,8,172,126
410007,639,0,36,1,91,25
410008,788,73,267,3,202,104
410009,822,8,90,52,218,50
410010,773,26,85,47,162,75
410011,569,0,36,1,71,33
411001,0,0,0,0,0,0
420001,1741,100,627,139,429,640
420002,649,9,24,0,122,36
420003,293,0,0,0,50,15
420004,319,0,0,0,46,16
420005,1067,85,228,81,168,283
420006,257,0,4,2,30,32
420007,444,0,6,1,79,23
420008,856,84,152,0,184,239
420009,347,1,32,1,78,23
420010,335,0,8,1,52,19
420011,1800,97,340,24,222,193
420012,285,0,0,0,61,16
420013,954,21,113,69,179,248
420014,243,0,2,0,40,32
420015,597,8,33,1,62,30
420016,557,11,119,19,117,60
420017,725,24,93,0,135,138
420018,520,0,4,1,79,130
430001,544,8,37,0,79,38
430002,413,8,89,1,70,59
430003,597,37,91,0,96,110
430004,348,0,24,0,58,50
430005,0,0,0,0,0,0
430007,2305,166,627,42,663,537
430008,687,8,20,2,170,42
