ValgstedId,Medlemsskab af folkekirken fordelt på afstemningsområder_Ikke medlem af folkekirken,Medlemsskab af folkekirken fordelt på afstemningsområder_Medlem af folkekirken
851011,997,6326
851012,1072.53,2896.23
851014,1029,3469
851015,1651,5825
851016,2855.47,7710.77
851017,1839,6568
851018,1309,4355
851019,1634.80,6844.41
851020,952.20,3986.59
851022,780,4930
851024,1015,6511
851027,2188.18,6278.33
851028,1669.71,4941.00
851029,2839.56,6801.09
851030,1481.06,4014.35
851031,2015,6244
851032,1314,3101
851033,639,4320
851034,1178.07,5692.30
851035,938,4878
851036,1780.42,4276.92
851038,456,2787
851040,2880,5520
851043,611,5227
851044,518,3975
851046,149,1276
851047,748,5989
851052,312,1854
851056,226,1865
851058,372,2122
851061,607,4663
860001,146,1574
860003,1167,4586
860004,1458,5364
860006,221,1530
860007,205,1465
860008,211,1338
860011,350,3001
860012,223,1593
860013,231,1458
860014,229,1365
860015,764,5925
860016,925,5971
860018,1180,5244
860019,646,3652
860020,155,975
860021,399,2423
860022,374,3188
860023,125,1051
860026,145,1062
860027,110,914
860028,218,1322
