ValgstedId,Boligtype_Antal_personer_01. Stuehuse og parcelhuse,Boligtype_Antal_personer_02. Række- og kædehuse,Boligtype_Antal_personer_03. Flerfamiliehuse,Boligtype_Antal_personer_04. Kollegier,Boligtype_Antal_personer_05. Sommerhuse,Boligtype_Antal_personer_06. Øvrige boliger
390010,2078,47,131,0,18,50
390011,866,75,38,0,179,32
390012,2211,1009,898,0,0,11
390013,1110,37,64,0,1,10
390014,620,29,15,0,125,17
390015,1599,152,141,0,29,39
390016,1773,192,50,0,24,7
390017,1681,205,106,0,0,29
400001,2399,487,188,0,42,142
400002,2650,152,66,0,23,41
400003,1740,236,101,0,17,20
400004,2840,1229,370,0,33,22
400005,1448,73,17,0,77,9
400006,4370,738,160,0,34,33
400007,2490,112,31,0,3,22
400008,6931,4905,2149,185,40,165
400009,1964,606,137,0,41,45
410001,2785,1574,2557,1,1,54
410002,5077,1394,356,0,8,43
410003,3494,736,142,0,27,33
410004,2026,815,339,0,2,5
410005,1283,174,28,0,63,34
410006,3016,371,474,0,5,38
410007,1748,70,34,0,57,9
410008,2309,435,277,0,2,10
410009,2327,248,119,0,3,20
410010,2230,179,56,0,81,46
410011,1568,51,11,0,0,8
411001,0,0,0,0,0,0
420001,3283,1593,1916,0,22,47
420002,1785,100,27,0,19,11
420003,821,15,8,0,0,1
420004,876,20,17,0,14,10
420005,3079,543,539,0,1,6
420006,715,17,7,0,0,1
420007,1287,36,19,0,1,5
420008,2315,605,275,0,0,17
420009,1004,56,25,0,0,1
420010,976,14,33,0,0,8
420011,4935,835,207,0,0,21
420012,759,16,3,0,12,2
420013,2707,440,84,0,1,8
420014,687,25,11,0,0,1
420015,1600,104,31,0,0,5
420016,1630,281,96,2,0,4
420017,1931,482,161,8,0,25
420018,1487,134,53,0,3,4
430001,1537,84,20,0,0,10
430002,1215,122,60,10,0,28
430003,1659,287,48,3,0,12
430004,922,70,40,0,0,5
430005,0,0,0,0,0,0
430007,4687,1694,1606,0,23,84
430008,1631,145,78,0,65,14
430009,1711,132,126,0,0,32
430010,0,0,0,0,0,0
430011,1840,162,59,0,37,17
430012,1490,142,41,0,11,17
430013,1357,95,15,0,0,23
430014,1334,59,54,0,0,27
430015,5450,1231,1072,29,0,312
430016,1051,33,32,0,0,18
430017,1804,212,78,0,0,3
430018,1874,396,139,0,0,28
430019,1974,272,37,0,0,41
430020,3323,401,132,0,2,35
430021,1604,257,59,0,0,15
430022,3907,648,110,0,0,37
440001,1849,88,48,0,77,8
440002,3483,1440,1411,33,108,101
440003,2104,103,103,0,1,19
440004,2024,179,29,0,0,20
440005,3481,757,334,0,0,14
440006,3975,1574,391,14,28,16
450001,1535,104,53,0,18,14
450002,4468,2524,2315,128,7,128
450003,2586,517,3341,12,38,15
450004,1574,746,30,10,0,9
450005,1010,28,39,0,0,4
450006,2408,471,97,0,0,10
450007,480,11,6,0,0,4
450008,557,22,6,0,0,0
450009,862,31,20,0,6,1
450010,1289,410,136,0,0,10
450011,1224,82,25,0,46,0
450012,1221,60,26,0,0,0
450013,1083,124,14,0,0,14
461001,1229,1142,9173,145,1,649
461002,3572,2372,4830,2,6,361
461003,1436,471,2422,0,0,32
461004,2602,519,6571,73,0,155
461005,1481,2593,3874,92,0,330
461006,2569,292,54,0,0,9
461007,3470,1982,866,0,0,160
461009,1847,1813,218,0,0,55
461011,1721,599,9316,477,0,54
461012,2190,2410,5321,676,0,269
461013,1054,138,35,0,0,12
461014,3687,2128,774,59,0,12
461016,2901,1204,22,0,0,51
461017,4391,1333,762,0,0,27
461018,3538,1872,401,0,1,39
461019,3239,1081,583,18,0,178
461020,3567,1021,43,0,0,9
461021,2713,345,20,0,0,95
461023,1296,875,9650,313,1,209
461024,4274,683,694,26,0,38
461025,1761,2909,3020,1338,0,69
461026,6937,3435,423,0,0,156
461028,4249,1027,70,0,0,105
461029,3901,1147,1560,0,0,29
461030,4528,2356,1662,272,0,266
461031,2602,835,274,0,0,16
461032,817,85,30,0,0,30
461033,3763,935,725,0,0,25
461035,1268,2771,6745,0,0,160
461036,1365,1719,1187,187,0,223
479001,6079,1795,5585,611,4,284
479002,1819,598,1056,25,0,53
479003,3094,1369,2873,19,0,20
479004,1117.09,59.57,13.05,0,18.15,13.05
479005,3427,460,101,0,6,67
479006,0,0,0,0,0,0
479007,1911,578,33,0,0,9
479008,851.91,45.43,9.95,0,13.85,9.95
479009,2273,334,116,29,4,16
479010,3103,318,62,0,36,26
479011,2000,759,50,0,0,14
479014,1205,109,47,0,0,9
479016,1708,194,115,144,0,53
479017,2104,281,117,2,2,54
479019,2492,208,51,2,2,46
479021,1090,53,66,0,0,48
479023,1274,218,62,0,0,28
479025,1136,104,95,0,17,71
479027,1490,245,67,5,5,109
480001,3320,1430,789,0,81,190
480002,916,6,5,0,2,2
480003,2910,28,29,0,282,36
480004,4933,974,685,2,0,39
480005,1186,19,0,0,0,44
480006,1306,94,15,0,0,11
480007,1286,67,4,0,0,21
480008,2652,187,44,0,0,19
480009,1460,80,17,0,0,11
480010,3491,788,162,0,0,42
482001,810.07,47.84,19.36,0,15.69,6.50
