ValgstedId,Boligtype_Antal_boliger_01. Stuehuse og parcelhuse,Boligtype_Antal_boliger_02. Række- og kædehuse,Boligtype_Antal_boliger_03. Flerfamiliehuse,Boligtype_Antal_boliger_04. Kollegier,Boligtype_Antal_boliger_05. Sommerhuse,Boligtype_Antal_boliger_06. Øvrige boliger
370026,1040,81,421,1,1,2
370027,1386,772,646,0,0,3
370028,461,1043,1171,0,0,6
370029,292,63,8,0,0,2
370031,689,113,33,0,0,3
370032,597,246,47,0,355,55
376001,264,409,2194,37,0,30
376002,819,466,805,115,0,13
376003,891,94,1052,0,0,1
376004,731,531,1129,89,0,6
376005,1018,120,29,0,0,6
376006,747,68,27,0,0,48
376007,1124,363,154,0,0,41
376008,1021,338,139,0,15,16
376009,699,25,35,0,1,2
376010,1079,410,87,0,0,17
376011,935,85,27,0,1,9
376012,1077,121,28,0,0,6
376013,1724,474,743,0,0,19
376014,655,88,35,0,0,5
376015,503,16,9,0,0,7
376016,1225,446,228,0,37,27
376017,1326,63,20,7,3,12
376018,657,133,35,0,90,5
376019,918,192,27,0,579,16
376020,552,122,15,0,57,5
390001,976,312,1772,38,15,16
390002,757,317,1027,0,102,42
390003,860,163,258,0,73,5
390004,867,192,117,25,37,4
390005,470,39,30,0,0,7
390006,1372,106,102,0,99,6
390007,644,267,30,0,0,2
390008,1665,395,796,1,73,22
390009,658,42,61,0,29,9
390010,931,36,91,0,11,12
390011,382,51,26,0,110,7
390012,949,651,655,0,0,7
390013,468,25,36,0,1,4
390014,274,18,9,0,80,6
390015,666,103,76,0,19,11
390016,875,135,31,0,18,5
390017,702,141,53,0,0,11
400001,1181,349,134,0,26,62
400002,1249,111,54,0,16,15
400003,825,146,76,0,11,8
400004,1281,801,220,0,21,5
400005,696,59,12,0,47,3
400006,1990,451,113,0,20,15
400007,1100,76,13,0,2,8
400008,2982,2978,1447,178,19,36
400009,933,388,84,0,24,9
410001,1091,888,1677,1,1,14
410002,2039,836,266,0,5,4
410003,1391,403,91,0,14,17
410004,763,392,199,0,1,3
410005,509,116,15,0,41,16
410006,1202,237,299,0,3,13
410007,679,56,21,0,32,4
410008,987,293,151,0,1,5
410009,973,181,76,0,2,8
410010,931,142,37,0,50,8
410011,661,39,8,0,0,2
411001,0,0,0,0,0,0
420001,1469,1009,1179,0,13,6
420002,743,67,16,0,12,2
420003,346,6,5,0,0,1
420004,350,12,8,0,8,3
420005,1213,332,364,0,1,2
420006,307,13,4,0,0,1
420007,520,21,9,0,1,2
420008,957,399,155,0,0,4
420009,421,49,11,0,0,1
420010,389,10,12,0,0,4
420011,1993,524,147,0,0,12
420012,338,14,2,0,7,1
420013,1213,332,35,0,1,3
420014,292,17,7,0,0,1
420015,638,72,19,0,0,2
420016,621,209,50,1,0,2
420017,726,287,91,7,0,4
420018,600,101,29,0,2,2
430001,626,64,12,0,0,4
430002,493,87,53,1,0,6
430003,698,199,28,1,0,5
430004,407,48,22,0,0,3
430005,0,0,0,0,0,0
430007,2099,1076,1102,0,18,45
430008,748,86,49,0,39,7
430009,747,109,77,0,0,26
430010,0,0,0,0,0,0
430011,821,109,45,0,21,9
430012,676,119,27,0,7,9
430013,544,60,8,0,0,6
430014,559,37,28,0,0,12
430015,2128,857,602,24,0,96
430016,422,22,21,0,0,4
430017,776,166,43,0,0,3
430018,747,291,71,0,0,7
430019,822,213,22,0,0,20
430020,1271,261,92,0,2,18
430021,643,165,53,0,0,5
430022,1469,373,63,0,0,9
440001,786,66,28,0,46,5
440002,1458,900,984,25,68,43
440003,840,53,59,0,1,6
440004,771,104,16,0,0,6
440005,1380,483,222,0,0,6
440006,1687,890,251,14,18,5
450001,634,68,28,0,10,5
450002,1772,1446,1374,37,4,67
450003,1060,271,2142,10,22,9
450004,601,463,20,10,0,3
450005,419,18,19,0,0,1
450006,971,318,63,0,0,5
450007,197,8,3,0,0,1
450008,232,13,5,0,0,0
450009,349,21,12,0,3,1
450010,528,322,87,0,0,3
450011,515,49,14,0,26,0
450012,483,42,18,0,0,0
450013,426,66,7,0,0,2
461001,438,531,5774,135,1,98
